sitio,parcela,tratamento,tratamcarina,bloco,ponto,ID,RFR_pre,RFR_pos,RFR_1ano
IGR,15,NEW,3,2,14,15_14,0.88,0.88,0.88
IGR,15,NEW,3,2,15,15_15,0.84,0.84,0.88
IGR,15,NEW,3,2,16,15_16,0.82,0.82,0.87
IGR,15,NEW,3,2,17,15_17,0.87,0.87,0.91
IGR,15,NEW,3,2,18,15_18,0.83,0.83,0.93
IGR,15,NEW,3,2,19,15_19,0.84,0.84,0.84
IGR,15,NEW,3,2,20,15_20,0.94,0.94,0.84
IGR,15,NEW,3,2,21,15_21,0.9,0.9,0.87
IGR,15,NEW,3,2,22,15_22,0.91,0.91,0.83
IGR,15,NEW,3,2,23,15_23,0.89,0.89,0.9
IGR,15,NEW,3,2,24,15_24,0.92,0.92,0.82
IGR,16,NEC,2,5,1,16_1,0.91,1.11,0.87
IGR,16,NEC,2,5,2,16_2,0.53,1.08,0.88
IGR,16,NEC,2,5,3,16_3,0.7,1.12,0.88
IGR,16,NEC,2,5,4,16_4,0.97,1.1,0.97
IGR,16,NEC,2,5,5,16_5,0.79,1.02,0.9
IGR,16,NEC,2,5,6,16_6,0.86,1.07,0.93
IGR,16,NEC,2,5,7,16_7,0.85,1.14,0.96
IGR,16,NEC,2,5,8,16_8,1.03,1.09,0.94
IGR,16,NEC,2,5,9,16_9,0.81,1.12,0.89
IGR,16,NEC,2,5,10,16_10,0.81,1.05,0.91
IGR,16,NEC,2,5,11,16_11,0.49,1.1,0.84
IGR,16,NEC,2,5,12,16_12,0.89,1.08,1
IGR,16,NEC,2,5,13,16_13,0.57,1.08,0.87
IGR,16,NEC,2,5,14,16_14,0.9,1.09,0.94
IGR,16,NEC,2,5,15,16_15,0.8,1.12,0.93
IGR,16,NEC,2,5,16,16_16,0.88,1.07,0.95
IGR,16,NEC,2,5,17,16_17,0.83,1.06,0.95
IGR,16,NEC,2,5,18,16_18,0.79,1.04,0.95
IGR,16,NEC,2,5,19,16_19,0.75,1.06,0.97
IGR,16,NEC,2,5,20,16_20,0.83,1.07,0.95
IGR,16,NEC,2,5,21,16_21,0.82,1.1,0.96
IGR,16,NEC,2,5,22,16_22,0.8,1.12,0.99
IGR,16,NEC,2,5,23,16_23,0.68,1.03,0.91
IGR,16,NEC,2,5,24,16_24,0.87,1.04,0.96
IGR,19,NEW,3,5,1,19_1,0.81,0.81,0.69
IGR,19,NEW,3,5,2,19_2,0.67,0.67,0.82
IGR,19,NEW,3,5,3,19_3,0.81,0.81,0.83
IGR,19,NEW,3,5,4,19_4,0.72,0.72,0.84
IGR,19,NEW,3,5,5,19_5,0.73,0.73,0.67
IGR,19,NEW,3,5,6,19_6,0.76,0.76,0.9
IGR,19,NEW,3,5,7,19_7,0.91,0.91,0.8
IGR,19,NEW,3,5,8,19_8,0.91,0.91,0.78
IGR,19,NEW,3,5,9,19_9,0.7,0.7,0.72
IGR,19,NEW,3,5,10,19_10,0.78,0.78,0.83
IGR,19,NEW,3,5,11,19_11,0.74,0.74,0.89
IGR,19,NEW,3,5,12,19_12,0.93,0.93,0.83
IGR,19,NEW,3,5,13,19_13,0.88,0.88,0.78
IGR,19,NEW,3,5,14,19_14,0.87,0.87,0.78
IGR,19,NEW,3,5,15,19_15,0.85,0.85,0.72
IGR,19,NEW,3,5,16,19_16,0.78,0.78,0.84
IGR,19,NEW,3,5,17,19_17,0.76,0.76,0.78
IGR,19,NEW,3,5,18,19_18,0.88,0.88,0.82
IGR,19,NEW,3,5,19,19_19,0.77,0.77,0.66
IGR,19,NEW,3,5,20,19_20,0.97,0.97,0.78
IGR,19,NEW,3,5,21,19_21,0.74,0.74,0.79
IGR,19,NEW,3,5,22,19_22,0.78,0.78,0.84
IGR,19,NEW,3,5,23,19_23,0.76,0.76,0.85
IGR,19,NEW,3,5,24,19_24,0.82,0.82,0.84
IGR,20,NNW,1,5,1,20_1,0.64,0.64,0.51
IGR,20,NNW,1,5,2,20_2,0.5,0.5,0.38
IGR,20,NNW,1,5,3,20_3,0.47,0.47,0.37
IGR,20,NNW,1,5,4,20_4,0.26,0.26,0.58
IGR,20,NNW,1,5,5,20_5,0.59,0.59,0.62
IGR,20,NNW,1,5,6,20_6,0.72,0.72,0.57
IGR,20,NNW,1,5,7,20_7,0.68,0.68,0.57
IGR,20,NNW,1,5,8,20_8,0.52,0.52,0.53
IGR,20,NNW,1,5,9,20_9,0.4,0.4,0.47
IGR,20,NNW,1,5,10,20_10,0.29,0.29,0.56
IGR,20,NNW,1,5,11,20_11,0.68,0.68,0.59
IGR,20,NNW,1,5,12,20_12,0.65,0.65,0.72
IGR,20,NNW,1,5,13,20_13,0.55,0.55,0.55
IGR,20,NNW,1,5,14,20_14,0.57,0.57,0.6
IGR,20,NNW,1,5,15,20_15,0.32,0.32,0.63
IGR,20,NNW,1,5,16,20_16,0.22,0.22,0.6
IGR,20,NNW,1,5,17,20_17,0.61,0.61,0.64
IGR,20,NNW,1,5,18,20_18,0.28,0.28,0.62
IGR,20,NNW,1,5,19,20_19,0.33,0.33,0.53
IGR,20,NNW,1,5,20,20_20,0.55,0.55,0.58
IGR,20,NNW,1,5,21,20_21,0.42,0.42,0.61
IGR,20,NNW,1,5,22,20_22,0.27,0.27,0.6
IGR,20,NNW,1,5,23,20_23,0.59,0.59,0.65
IGR,20,NNW,1,5,24,20_24,0.55,0.55,0.65
IGR,22,NEW,3,3,1,22_1,0.74,0.74,0.79
IGR,22,NEW,3,3,2,22_2,0.84,0.84,0.84
IGR,22,NEW,3,3,3,22_3,0.8,0.8,0.42
IGR,22,NEW,3,3,4,22_4,1.11,1.11,0.86
IGR,22,NEW,3,3,5,22_5,0.73,0.73,0.8
IGR,22,NEW,3,3,6,22_6,0.69,0.69,0.77
IGR,22,NEW,3,3,7,22_7,0.81,0.81,0.87
IGR,22,NEW,3,3,8,22_8,0.78,0.78,0.91
IGR,22,NEW,3,3,9,22_9,0.8,0.8,0.96
IGR,22,NEW,3,3,10,22_10,0.75,0.75,0.78
IGR,22,NEW,3,3,11,22_11,0.72,0.72,0.84
IGR,22,NEW,3,3,12,22_12,0.74,0.74,0.88
IGR,22,NEW,3,3,13,22_13,0.9,0.9,0.91
IGR,22,NEW,3,3,14,22_14,0.9,0.9,0.94
IGR,22,NEW,3,3,15,22_15,0.88,0.88,0.98
IGR,22,NEW,3,3,16,22_16,0.82,0.82,0.85
IGR,22,NEW,3,3,17,22_17,0.71,0.71,0.76
IGR,22,NEW,3,3,18,22_18,0.76,0.76,0.78
IGR,22,NEW,3,3,19,22_19,0.79,0.79,0.78
IGR,22,NEW,3,3,20,22_20,0.86,0.86,0.89
IGR,22,NEW,3,3,21,22_21,0.84,0.84,0.52
IGR,22,NEW,3,3,22,22_22,0.84,0.84,0.85
IGR,22,NEW,3,3,23,22_23,0.81,0.81,0.76
IGR,22,NEW,3,3,24,22_24,0.81,0.81,0.78
IGR,23,NNW,1,3,1,23_1,0.57,0.57,0.71
IGR,23,NNW,1,3,2,23_2,0.5,0.5,0.63
IGR,23,NNW,1,3,3,23_3,0.57,0.57,0.62
IGR,23,NNW,1,3,4,23_4,0.61,0.61,0.7
IGR,23,NNW,1,3,5,23_5,0.61,0.61,0.72
IGR,23,NNW,1,3,6,23_6,0.68,0.68,0.75
IGR,23,NNW,1,3,7,23_7,0.76,0.76,0.75
IGR,23,NNW,1,3,8,23_8,0.71,0.71,0.76
IGR,23,NNW,1,3,9,23_9,0.59,0.59,0.73
IGR,23,NNW,1,3,10,23_10,0.6,0.6,0.72
IGR,23,NNW,1,3,11,23_11,0.59,0.59,0.71
IGR,23,NNW,1,3,12,23_12,0.69,0.69,0.86
IGR,23,NNW,1,3,13,23_13,0.71,0.71,0.61
IGR,23,NNW,1,3,14,23_14,0.69,0.69,0.65
IGR,23,NNW,1,3,15,23_15,0.59,0.59,0.71
IGR,23,NNW,1,3,16,23_16,0.55,0.55,0.76
IGR,23,NNW,1,3,17,23_17,0.64,0.64,0.7
IGR,23,NNW,1,3,18,23_18,0.72,0.72,0.83
IGR,23,NNW,1,3,19,23_19,0.52,0.52,0.66
IGR,23,NNW,1,3,20,23_20,0.36,0.36,0.59
IGR,23,NNW,1,3,21,23_21,0.4,0.4,0.58
IGR,23,NNW,1,3,22,23_22,0.59,0.59,0.74
IGR,23,NNW,1,3,23,23_23,0.55,0.55,0.71
IGR,23,NNW,1,3,24,23_24,0.54,0.54,0.75
IGR,24,NEC,2,3,1,24_1,0.79,1.12,0.98
IGR,24,NEC,2,3,2,24_2,0.71,1.13,0.96
IGR,24,NEC,2,3,3,24_3,0.8,1.07,0.92
IGR,24,NEC,2,3,4,24_4,0.93,1.17,0.9
IGR,24,NEC,2,3,5,24_5,0.71,1.1,0.79
IGR,24,NEC,2,3,6,24_6,0.71,1.1,0.97
IGR,24,NEC,2,3,7,24_7,0.79,1.15,1.03
IGR,24,NEC,2,3,8,24_8,0.78,1.11,0.97
IGR,24,NEC,2,3,9,24_9,0.76,1.17,1
IGR,24,NEC,2,3,10,24_10,0.78,1.24,0.96
IGR,24,NEC,2,3,11,24_11,0.78,1.16,0.94
IGR,24,NEC,2,3,12,24_12,0.81,1.14,0.97
IGR,24,NEC,2,3,13,24_13,0.98,1.18,1.01
